Norway,"0,956"
Ireland,"0,951"
Switzerland,"0,955"
"Hong Kong, China (SAR)","0,946"
Iceland,"0,946"
Germany,"0,946"
Sweden,"0,943"
Australia,"0,943"
Netherlands,"0,942"
Denmark,"0,939"
Finland,"0,937"
Singapore,"0,936"
United Kingdom,"0,928"
Belgium,"0,93"
New Zealand,"0,928"
Canada,"0,928"
United States,"0,925"
Austria,"0,921"
Israel,"0,916"
Japan,"0,917"
Liechtenstein,"0,919"
Slovenia,"0,912"
Korea (Republic of),"0,914"
Luxembourg,"0,913"
Spain,"0,905"
France,"0,898"
Czechia,"0,898"
Malta,"0,894"
Estonia,"0,889"
Italy,"0,89"
United Arab Emirates,"0,889"
Greece,"0,881"
Cyprus,"0,885"
Lithuania,"0,876"
Poland,"0,877"
Andorra,"0,867"
Latvia,"0,863"
Portugal,"0,86"
Slovakia,"0,858"
Hungary,"0,85"
Saudi Arabia,"0,854"
Bahrain,"0,852"
Chile,"0,849"
Croatia,"0,848"
Qatar,"0,845"
Argentina,"0,842"
Brunei Darussalam,"0,836"
Montenegro,"0,826"
Romania,"0,823"
Palau,"0,822"
Kazakhstan,"0,819"
Russian Federation,"0,823"
Belarus,"0,823"
Turkey,"0,817"
Uruguay,"0,816"
Bulgaria,"0,813"
Panama,"0,812"
Bahamas,"0,812"
Barbados,"0,81"
Oman,"0,813"
Georgia,"0,805"
Costa Rica,"0,808"
Malaysia,"0,805"
Kuwait,"0,807"
Serbia,"0,803"
Mauritius,"0,801"
Seychelles,"0,79"
Trinidad and Tobago,"0,795"
Albania,"0,792"
Cuba,"0,781"
Iran (Islamic Republic of),"0,785"
Sri Lanka,"0,779"
Bosnia and Herzegovina,"0,777"
Grenada,"0,773"
Mexico,"0,776"
Saint Kitts and Nevis,"0,773"
Ukraine,"0,774"
Antigua and Barbuda,"0,772"
Peru,"0,771"
Thailand,"0,772"
Armenia,"0,771"
North Macedonia,"0,77"
Colombia,"0,764"
Brazil,"0,762"
China,"0,755"
Ecuador,"0,762"
Saint Lucia,"0,758"
Azerbaijan,"0,754"
Dominican Republic,"0,751"
Moldova (Republic of),"0,746"
Algeria,"0,746"
Lebanon,"0,747"
Fiji,"0,742"
Dominica,"0,738"
Maldives,"0,734"
Tunisia,"0,738"
Saint Vincent and the Grenadines,"0,736"
Suriname,"0,734"
Mongolia,"0,735"
Botswana,"0,73"
Jamaica,"0,734"
Jordan,"0,728"
Paraguay,"0,727"
Tonga,"0,723"
Libya,"0,721"
Uzbekistan,"0,717"
Bolivia (Plurinational State of),"0,714"
Indonesia,"0,712"
Philippines,"0,711"
Belize,"0,714"
Samoa,"0,709"
Turkmenistan,"0,71"
Venezuela (Bolivarian Republic of),"0,733"
South Africa,"0,707"
"Palestine, State of","0,708"
Egypt,"0,701"
Marshall Islands,"0,702"
Viet Nam,"0,7"
Gabon,"0,697"
Kyrgyzstan,"0,696"
Morocco,"0,68"
Guyana,"0,68"
Iraq,"0,671"
El Salvador,"0,67"
Tajikistan,"0,661"
Cabo Verde,"0,663"
Guatemala,"0,657"
Nicaragua,"0,659"
Bhutan,"0,649"
Namibia,"0,645"
India,"0,642"
Honduras,"0,633"
Bangladesh,"0,625"
Kiribati,"0,628"
Sao Tome and Principe,"0,624"
Micronesia (Federated States of),"0,618"
Lao People's Democratic Republic,"0,609"
Eswatini (Kingdom of),"0,605"
Ghana,"0,606"
Vanuatu,"0,603"
Timor-Leste,"0,599"
Nepal,"0,596"
Kenya,"0,599"
Cambodia,"0,585"
Equatorial Guinea,"0,582"
Zambia,"0,582"
Myanmar,"0,579"
Angola,"0,582"
Congo,"0,573"
Zimbabwe,"0,569"
Solomon Islands,"0,564"
Syrian Arab Republic,"0,563"
Cameroon,"0,56"
Pakistan,"0,552"
Papua New Guinea,"0,549"
Comoros,"0,552"
Mauritania,"0,542"
Benin,"0,541"
Uganda,"0,538"
Rwanda,"0,54"
Nigeria,"0,534"
C̫te d'Ivoire,"0,534"
Tanzania (United Republic of),"0,524"
Madagascar,"0,527"
Lesotho,"0,522"
Djibouti,"0,518"
Togo,"0,51"
Senegal,"0,516"
Afghanistan,"0,509"
Haiti,"0,508"
Sudan,"0,506"
Gambia,"0,487"
Ethiopia,"0,478"
Malawi,"0,478"
Congo (Democratic Republic of the),"0,478"
Guinea-Bissau,"0,472"
Liberia,"0,48"
Guinea,"0,473"
Yemen,"0,468"
Eritrea,"0,456"
Mozambique,"0,452"
Burkina Faso,"0,443"
Sierra Leone,"0,447"
Mali,"0,431"
Burundi,"0,431"
South Sudan,"0,429"
Chad,"0,397"
Central African Republic,"0,395"
Niger,"0,391"